Source_Name,z_best,Size,angular_size,L_144,Mass_median,flag_mass,fri,frii,hybrid,spiral,relaxed,cshaped,sshaped,misaligned,wings,xshaped,straight,multihotspots,continuous,banding,onesided,restarted,cluster,merger,diffuse,unknown,featurecount,hasanyone,hasanytwo,hasall,has_exactly_1,has_exactly_2,se,ms,em
ILTJ001141.84+322851.9,0.1924536,589.6211642787569,184.1843380239394,1.0814754845042868e+25,11.344239234924316,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,False,False,False,False,False,False,False
ILTJ001143.81+180351.0,0.1687442064285278,291.3349605425533,101.13452530514957,6.22440632724461e+24,11.26046371459961,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,True,False,False,True,False,False,False,False
ILTJ001145.93+322526.9,0.0983159318566322,191.33968291887905,105.3200298603502,6.278816505304637e+24,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001148.21+252649.1,0.3779642283916473,425.7335577184832,82.05962231349115,6.84847182415518e+25,11.84113597869873,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
ILTJ001148.43+281105.3,0.6643631,779.4677305139774,111.44604467946004,1.7784864301963706e+26,11.333885192871094,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False
ILTJ001152.60+310023.9,0.7971288,3327.591708495588,443.7310270311399,4.08164542560484e+26,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001206.33+302956.1,0.1489327102899551,761.1994476401757,292.89331166288247,7.783514190188833e+24,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001216.97+304552.4,0.3096465,344.474139620441,75.66985001237644,3.8227496216184986e+25,11.529449462890623,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4,False,False,False,False,False,False,False,False
ILTJ001220.51+181940.3,0.9197467,506.10637953655976,64.56426337419482,1.3302643077610266e+27,10.707696914672852,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001224.75+193340.6,0.9314969,1635.0206539043118,207.85818407311612,5.977789398817832e+26,10.955608367919922,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,False,False,False,False,False,False
ILTJ001317.67+204741.8,0.385889,619.52010170285,117.8771076102356,1.8990640466990728e+27,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001320.82+315632.0,0.2737450003623962,288.5662943552029,69.09603830015685,2.9404625544309348e+25,11.526324272155762,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001335.98+320426.4,1.325717,701.6779252770131,83.58741349968444,1.0338827145750423e+27,10.538101196289062,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001350.25+324530.8,0.5331153,599.1284431681477,94.92290269549196,4.0501212250256125e+26,9.743011474609377,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ001409.54+232927.3,0.5503058,873.6897452778062,136.22904044240704,5.323008549885766e+26,11.003735542297363,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001415.03+284605.8,0.1278440803289413,493.6884810119777,216.12378204290448,1.2181495234348302e+25,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
ILTJ001421.82+165352.3,0.1753705888986587,523.2932182138646,176.0714874147367,2.1412898930963618e+25,11.28152847290039,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001422.53+264704.5,0.6760014295578003,1281.2134272692815,181.85856711398645,2.9259552172324968e+26,11.60072898864746,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,False,False,False,False,False,False,False,False
ILTJ001433.82+281507.5,1.142007,174.53392441356402,21.21101332313716,1.5212683082373187e+27,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001445.17+280130.6,0.1703072488307953,559.6198994764702,192.81612910041775,5.889952869873827e+24,11.359613418579102,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001454.48+222611.6,0.9548877,919.0384785231436,116.072766158283,5.883064519855494e+26,11.082356452941896,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001516.29+350322.8,0.2012886255979538,317.42371432759563,95.71660763523988,2.7141655581227582e+25,,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False
ILTJ001517.73+235159.8,0.8534955,592.0935950544567,77.21113558354251,3.0054473349507105e+26,11.485414505004885,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,True,False,False,True,False,False,False,False
ILTJ001531.90+331832.3,0.8762098,1546.7808120920492,200.095649057144,2.537679437604153e+26,11.60558032989502,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
