filename,field,crop_index,p_low,p_high,source_count
MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor_crop_0162.npy,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor,162,-1.759273436618969e-05,4.197344605927356e-05,
J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor_crop_0182.npy,J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor,182,-1.3432473679131364e-05,3.414728053030558e-05,
J1518.3-4632_aFix_pol_I_Farcsec_5pln_cor_crop_0196.npy,J1518.3-4632_aFix_pol_I_Farcsec_5pln_cor,196,-2.6316898583900183e-05,3.836355244857259e-05,
J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor_crop_0150.npy,J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor,150,-1.893065564217977e-05,4.2162908357568085e-05,
ElGordo_aFix_pol_I_Farcsec_5pln_cor_crop_0081.npy,ElGordo_aFix_pol_I_Farcsec_5pln_cor,81,-1.8438237020745877e-05,3.2559692044742405e-05,
J0638.7-5358_aFix_pol_I_Farcsec_5pln_cor_crop_0186.npy,J0638.7-5358_aFix_pol_I_Farcsec_5pln_cor,186,-1.4472521797870286e-05,3.7130746932234615e-05,
J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor_crop_0176.npy,J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor,176,-1.797733420971781e-05,3.096696309512481e-05,
J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor_crop_0000.npy,J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor,0,-1.727664130157791e-05,3.109658064204268e-05,
Abell_13_noFix_pol_I_Farcsec_5pln_cor_crop_0070.npy,Abell_13_noFix_pol_I_Farcsec_5pln_cor,70,-1.9173105101799592e-05,3.867880150210112e-05,
Abell_33_noFix_pol_I_Farcsec_5pln_cor_crop_0163.npy,Abell_33_noFix_pol_I_Farcsec_5pln_cor,163,-2.8547556212288328e-05,4.8568657803116366e-05,
MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor_crop_0167.npy,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor,167,-1.759273436618969e-05,4.197344605927356e-05,
